plan_id	cluster	main_kw	sub_kw	title
P01	手続き	任意継続	任意継続 保険料|任意継続 メリット|任意継続 必要書類|任意継続 上限	退職後の任意継続とは｜保険料・必要書類・メリットを整理
P02	手続き	任意継続 国保 どっちが安い	退職後 健康保険 安くする方法|任意継続 国保	任意継続と国保はどっちが安い？年収別の早見表
P03	手続き	国民健康保険 減免	国民健康保険 減免制度|国民健康保険 減免 会社都合|国民健康保険 減免 自己都合	国民健康保険の減免制度｜対象になる人と申請のやり方
P04	手続き	国民健康保険 減免 離職コード	国民健康保険 減免 33|特定理由離職者 減免	離職コードで保険料が7割減る｜知らないと損する減免
P05	手続き	退職後 健康保険	退職後 健康保険 14日過ぎた|退職後 健康保険 国民健康保険|退職後 健康保険 保険料	退職後の健康保険はどうする｜14日を過ぎたときの対処も
P06	手続き	扶養に入る条件	扶養に入る 手続き|扶養に入るタイミング|扶養に入るには	退職後に扶養に入る条件｜収入の数え方と手続きの順番
P07	手続き	扶養に入る 失業保険	失業保険 扶養|傷病手当金 扶養	失業保険をもらいながら扶養に入れる？金額の境目
P08	手続き	住民税 退職後	住民税 退職後 無職|住民税 退職後 6月|住民税 退職	退職後の住民税が高い理由｜払えないときの分割と猶予
P09	手続き	退職後 やること	退職 手続き 順番|退職後 手続き	退職後にやること全部｜期限つきチェックリスト
P10	傷病手当金	傷病手当金 アルバイト	傷病手当金 バイト|傷病手当金 パート|傷病手当金 役員	傷病手当金をもらいながら働ける？アルバイトの線引き
P11	傷病手当金	傷病手当金	傷病手当金 いくらもらえる|傷病手当金計算方法|傷病手当金 少ない	傷病手当金はいくらもらえる？計算方法と実例
P12	傷病手当金	傷病手当金 再発	傷病手当金 2回目|傷病手当金 通算	傷病手当金は2回目ももらえる？再発と通算1年6ヶ月の話
P13	傷病手当金	傷病手当金 退職後	傷病手当金 退職後 初めて申請|傷病手当金 退職後 書き方|傷病手当金 退職後 国保	退職後も傷病手当金はもらえる？継続給付の3条件
P14	傷病手当金	傷病手当金 つわり	切迫流産 休職 給料|休職 給料 つわり|妊娠 休職 お金	つわり・切迫流産で休むときのお金｜在職中に使える制度
P15	傷病手当金	傷病手当金 保険料	傷病手当金 年金|休職 社会保険料|休職 保険料	傷病手当金をもらっても保険料と年金は引かれる話
P16	傷病手当金	傷病手当金 適応障害	適応障害 給付金|うつ病 傷病手当金	適応障害で傷病手当金はもらえる？医師への伝え方の注意
P17	離職理由	特定理由離職者	特定理由離職者 メリット|特定理由離職者 デメリット|特定理由離職者 離職票	特定理由離職者とは｜該当すると何が変わるか
P18	離職理由	特定理由離職者 パワハラ	特定理由離職者 腰痛|特定理由離職者 親の介護|特定理由離職者 診断書	自分は特定理由離職者？パワハラ・腰痛・介護の判定
P19	離職理由	受給期間延長	受給期間延長申請書|受給期間延長 うつ病|受給期間延長 手続き	失業保険の受給期間延長｜病気で働けないときの必須手続き
P20	離職理由	失業保険 自己都合 会社都合	会社都合 自己都合 変更|離職票 異議申し立て	自己都合を会社都合に変えられるか｜異議申し立ての手順
P21	失業保険	失業保険 いくらもらえる	失業保険 計算|失業保険 いくら|失業保険 金額	失業保険はいくらもらえる？年齢と給与別の早見表
P22	失業保険	失業保険 アルバイト	失業保険 メルカリ|失業保険 パート|失業保険 バイト	失業保険をもらいながらバイトはできる？申告のルール
P23	失業保険	失業保険 自己都合	失業保険 自己都合 何ヶ月|失業保険 自己都合 いつから|失業保険 待機期間	自己都合の失業保険はいつから？待期と給付制限の期間
P24	失業保険	失業保険 認定日	失業保険 説明会|失業保険 ハローワーク|失業保険 求職活動	失業保険の認定日と説明会｜当日の流れと持ち物
P25	失業保険	失業保険 再就職手当	失業保険 自己都合 再就職手当|再就職手当 条件	再就職手当はいくら？早く決まった方が得になる条件
