plan_id	cluster	main_kw	sub_kw	title
F1	F	看護師 開業届	開業届 書き方|フリーランス 開業届|青色申告 申請	看護師の開業届の出し方｜画面を見せて5分で解説
F2	F	フリーランス看護師 確定申告	看護師 確定申告|看護師 経費|確定申告 やり方	フリーランス看護師の確定申告、全部やってみた
F3	F	看護師 辞めた後 お金	退職後 国民健康保険|住民税 退職後|失業保険 看護師	看護師を辞めた後に来る請求｜保険・年金・住民税
B1	B	フリーランス看護師	フリーランス看護師 とは|看護師 フリーランス|看護師 働き方	フリーランス看護師とは？仕事内容と収入を現役が全公開
B2	B	フリーランス看護師 なるには	フリーランス看護師 準備|フリーランス看護師 経験年数	フリーランス看護師になるには？必要な準備を順に解説
B3	B	フリーランス看護師 収入	フリーランス看護師 年収|看護師 いくら稼げる	フリーランス看護師の収入をリアル公開｜1ヶ月の内訳
B4	B	フリーランス看護師 デメリット	フリーランス看護師 きつい|フリーランス看護師 後悔	フリーランス看護師のデメリット5つ｜向いてない人
B5	B	フリーランス看護師 案件	看護師 単発 登録|看護師 派遣 サイト|案件 探し方	フリーランス看護師の案件の探し方｜登録先と使い分け
B6	B	フリーランス看護師 失敗	フリーランス 後悔|看護師 独立 失敗	フリーランス看護師で失敗した話｜初月に全部断られた
D1	D	看護師 病院以外 仕事	看護師 転職先 病院以外|看護師 他の仕事	看護師の病院以外の仕事12選｜求人の探し方つき
D2	D	企業看護師	産業看護師|産業保健師|看護師 オフィスワーク	企業看護師とは？仕事内容と求人の見つけ方
D3	D	ツアーナース	ツアーナース 給料|修学旅行 看護師|イベントナース	ツアーナースの1日｜仕事内容・報酬・応募方法
D4	D	健診 バイト 看護師	健診 看護師 単発|採血 バイト	健診バイトが初心者に一番おすすめな理由
D5	D	看護師 資格 活かせる仕事	看護師免許 使える仕事|看護師 スキル	看護師資格が活かせる仕事｜病院の外での本当の価値
C1	C	看護師 副業	看護師 副業 おすすめ|看護師 副業 在宅	看護師の副業おすすめ7選｜資格が活きる順に紹介
C2	C	看護師 副業 バレる	看護師 副業 禁止|住民税 普通徴収|副業 バレない	看護師の副業は職場にバレる？就業規則と住民税の話
C3	C	看護師 在宅ワーク	看護師 リモート|看護師 家で働く	看護師の在宅ワーク6選｜家で資格を使って働く方法
C4	C	医療ライター	医療ライター なるには|看護師 ライター|医療ライター 単価	医療ライターの始め方｜看護師が未経験から1件目まで
C5	C	看護師 単発バイト	看護師 スポットバイト|単発 派遣 看護師	看護師の単発バイト｜使う登録先と稼働の組み方
C6	C	看護師 副業 いくら	看護師 副業 収入|副業 月5万	看護師の副業、実際いくら稼げる？案件別の単価一覧
E1	E	ママナース 復帰	看護師 育休明け|ママナース 復帰 不安|復帰 怖い	育休明けのママナースへ｜復帰前にやると変わること
E2	E	ママナース 時短	看護師 時短 きつい|時短 給料|時短 肩身が狭い	時短勤務のママナースがきつい理由と、その抜け道
E3	E	看護師 子育て 両立	ママナース 夜勤なし|看護師 ワーママ	看護師と子育ての両立｜夜勤なしで成立させる働き方
E4	E	ママナース 在宅	看護師 在宅 ママ|育休中 スキル	ママナースが在宅で働くまでのリアルな1年【対談】
A1	A	看護師 辞めたい	看護師 辞めたい 理由|看護師 辞めたい 疲れた	看護師を辞めたい人へ｜辞める前に知るべき5つの選択肢
A2	A	新人看護師 辞めたい	看護師1年目 辞めたい|新人 辞めたい 甘え	新人看護師が辞めたいのは甘えじゃない｜データで解説
A3	A	看護師 3年目 辞めたい	看護師 3年目 転職|3年は働くべき	看護師3年目で辞めたい。ここで辞めていい条件
A4	A	看護師 辞める 勇気	看護師 辞めたいけど怖い|看護師 辞められない	看護師を辞める勇気が出ない人へ｜7年迷った私の話
A5	A	看護師 夜勤 やめたい	夜勤 きつい|夜勤なし 看護師 収入	夜勤をやめた看護師の体と生活はこう変わった
A6	A	看護師 向いてない	看護師 適性ない|看護師 ミスばかり	看護師に向いてないと思ったら｜辞める以外の3つの道
